IFR;PERC_D;PERC_K;MFI;UO;SUPRES;FUT
68,72 ;56,72 ;82,18 ;52,29 ;69,70 ;97,32 ;3
68,07 ;58,96 ;85,96 ;51,57 ;68,37 ;95,40 ;3
61,23 ;63,96 ;85,65 ;46,08 ;62,99 ;86,98 ;2
51,78 ;68,28 ;65,74 ;44,57 ;55,42 ;72,77 ;1
53,27 ;70,74 ;43,42 ;38,78 ;48,98 ;75,50 ;1
62,51 ;71,40 ;48,28 ;46,84 ;57,80 ;95,68 ;2
59,26 ;70,27 ;57,88 ;46,44 ;56,69 ;90,48 ;2
60,13 ;69,62 ;74,89 ;53,77 ;52,89 ;92,50 ;2
62,44 ;69,05 ;77,43 ;60,15 ;54,79 ;97,92 ;2
63,36 ;69,46 ;85,93 ;61,06 ;58,54 ;97,65 ;2
66,47 ;70,44 ;94,76 ;62,23 ;68,56 ;100,00 ;3
64,98 ;71,51 ;95,24 ;61,62 ;70,54 ;97,98 ;3
63,46 ;74,35 ;91,36 ;63,57 ;59,97 ;93,14 ;3
57,26 ;77,57 ;72,37 ;60,16 ;57,01 ;85,79 ;3
45,46 ;76,83 ;41,60 ;50,73 ;45,59 ;67,66 ;3
40,29 ;72,29 ;17,01 ;40,67 ;35,98 ;57,17 ;3
35,49 ;64,56 ;5,30 ;42,29 ;33,39 ;45,61 ;3
31,55 ;56,53 ;5,17 ;42,30 ;27,20 ;34,33 ;1
34,29 ;47,93 ;8,54 ;41,15 ;31,56 ;38,26 ;1
32,34 ;38,64 ;11,18 ;32,54 ;35,22 ;32,77 ;1
30,07 ;29,53 ;13,27 ;41,46 ;28,67 ;26,00 ;1
36,97 ;21,08 ;15,24 ;34,00 ;34,74 ;35,81 ;1
48,90 ;16,41 ;30,40 ;35,44 ;44,26 ;57,36 ;2
53,98 ;17,95 ;55,43 ;39,30 ;50,04 ;69,03 ;3
51,26 ;24,65 ;77,32 ;34,99 ;51,99 ;63,25 ;3
45,05 ;32,53 ;76,26 ;30,56 ;46,23 ;48,55 ;3
44,05 ;39,34 ;66,41 ;24,45 ;41,99 ;46,00 ;3
47,65 ;45,02 ;59,66 ;24,03 ;55,93 ;53,35 ;3
44,41 ;50,08 ;56,70 ;32,93 ;51,73 ;45,61 ;3
41,17 ;54,10 ;49,47 ;35,39 ;44,46 ;37,28 ;3
37,68 ;56,05 ;32,82 ;33,90 ;40,89 ;27,47 ;3
31,99 ;54,68 ;18,09 ;32,37 ;38,43 ;8,37 ;3
31,21 ;50,09 ;14,11 ;31,38 ;44,88 ;13,30 ;3
31,21 ;43,18 ;15,08 ;37,57 ;44,35 ;13,30 ;3
27,36 ;36,19 ;13,39 ;29,62 ;36,22 ;0,00 ;1
24,50 ;29,63 ;7,37 ;30,12 ;34,23 ;0,80 ;1
29,13 ;23,66 ;5,87 ;33,61 ;37,46 ;11,10 ;1
38,43 ;19,51 ;19,39 ;34,50 ;41,31 ;24,33 ;3
